water_flux_ms,vapor_flux_ms
-6.028162006209899e-07,3.044748789176689e-08
-7.139288407620742e-07,3.5200041895056315e-08
-7.130625077121842e-07,3.685439598266157e-08
-6.308721287159715e-07,3.5505493106090395e-08
-5.17284705207051e-07,3.2015492003305404e-08
-3.974893658163259e-07,2.7553054841876908e-08
-2.732847952307256e-07,2.316577184638125e-08
-1.5467636400075764e-07,1.951900665006716e-08
-4.742040653953522e-08,1.6833486743898125e-08
5.4130631060014086e-08,1.4977090728103464e-08
1.3162563850141566e-07,1.358405720655079e-08
1.480615801628252e-07,1.1295304194466291e-08
8.916731890080475e-08,4.747550700704829e-09
-1.1811527157079719e-08,-8.520932092701267e-09
-5.1660825828110935e-08,-2.5077992945275533e-08
9.99298210467401e-08,-3.701344181352666e-08
4.5850605236252864e-07,-3.945423797966212e-08
8.597535898836839e-07,-3.60826982363822e-08
1.0788136160188768e-06,-3.639718471788819e-08
1.0004706777711075e-06,-4.545627210379387e-08
6.875394350686873e-07,-5.780870729956061e-08
3.0364639498617435e-07,-6.319471066335216e-08
-2.2671634603433215e-08,-5.468687824136445e-08
-2.3575702843685786e-07,-3.0617112808246334e-08
-2.9620968920703864e-07,5.056223261187718e-09
-1.8740743997805773e-07,4.192107290312393e-08
1.845953135100498e-08,6.751198217781297e-08
1.855806759572899e-07,7.463020319245115e-08
2.236906233740714e-07,6.412437928849939e-08
1.5193564492928786e-07,4.263815816316044e-08
7.251879419854056e-08,1.8653046943591318e-08
1.0706788608368752e-07,-9.112926079062271e-10
3.2225736458081996e-07,-1.2479121695411624e-08
6.503941319139126e-07,-1.5917555252525606e-08
9.144228236946465e-07,-1.3489205766922346e-08
9.777472632278519e-07,-8.386922413607873e-09
8.416874163257049e-07,-3.461431297637378e-09
6.201475245635709e-07,-4.796253254040053e-10
4.504334792488996e-07,3.36168265201985e-11
3.833519828945324e-07,-1.4807117182113462e-09
3.5635819711503477e-07,-4.092138750037475e-09
2.8770004188193505e-07,-6.841350285666788e-09
1.6761247519704174e-07,-9.048499580961146e-09
7.504328119721905e-08,-1.0427025425778278e-08
1.0975283626869206e-07,-1.1035630335763182e-08
2.6895353906527094e-07,-1.1139838295656452e-08
4.2503230217461465e-07,-1.1057631250607501e-08
4.519240935478486e-07,-1.1042605406076806e-08
3.28685971135125e-07,-1.1227877599905593e-08
1.3121108696735995e-07,-1.1627006424702382e-08
-3.150739129931221e-08,-1.2171742621345366e-08
-9.926534807350843e-08,-1.276204516201006e-08
-9.892077052711516e-08,-1.3308545295501164e-08
-8.573550732224719e-08,-1.3756820263520042e-08
-8.422269574995316e-08,-1.4092283936506287e-08
-9.215577512571073e-08,-1.4331152888095768e-08
-8.894967671573281e-08,-1.4505165187375673e-08
-6.082781829916923e-08,-1.5506160686160173e-08
-4.20061656912155e-08,-2.026181063073124e-08
-9.130232267550702e-08,-3.108499097732386e-08
-2.2135245938280943e-07,-4.494914510200401e-08
-3.609436434164384e-07,-5.477496434049579e-08
-3.962396655650405e-07,-5.536793144913033e-08
-2.809854554404774e-07,-4.6449517326982243e-08
-9.221628438514594e-08,-3.164280973825828e-08
4.8734552149301735e-08,-1.684880982514356e-08
8.803777506729109e-08,-9.176799863136187e-09
8.607527152473572e-08,-1.3068892453876358e-08
1.6124567710647303e-07,-2.5457810467007854e-08
3.4670285531298125e-07,-3.7704014052196945e-08
5.275297772187644e-07,-4.247284816501758e-08
5.486889693449918e-07,-3.8448402783174654e-08
3.443104370428452e-07,-3.0985505937647686e-08
-2.1755203037197108e-08,-2.707956675801702e-08
-3.7572965373579577e-07,-2.8200763289445372e-08
-5.285402746108247e-07,-3.0032569727527147e-08
-4.233258919040629e-07,-2.7983514445546442e-08
-1.7414942897448517e-07,-2.152462380035916e-08
4.225725140612213e-08,-1.5228081741088437e-08
1.0926033378905914e-07,-1.4495806526549825e-08
2.9614426241100722e-08,-1.9153111494147717e-08
-1.141448999476405e-07,-2.3706341061163528e-08
-2.515068740453391e-07,-2.3052400377474395e-08
-3.382002879888085e-07,-1.5881475227624336e-08
-3.138279719581612e-07,-4.188851140486378e-09
-1.1268205026342112e-07,8.762714926486153e-09
2.615567562720607e-07,1.99845047025293e-08
6.727309259065989e-07,2.727982269254967e-08
9.138008400165955e-07,2.963281054915905e-08
8.747562587052507e-07,2.7530672639591486e-08
6.29595630934054e-07,2.262903788956295e-08
3.6241001915703466e-07,1.6952068460015196e-08
2.2472808401579106e-07,1.2158633038961182e-08
2.2620305463504642e-07,9.140716687742665e-09
2.5229525062366573e-07,7.99116536207926e-09
2.0866259244872256e-07,8.23313991677704e-09
1.2005512585764791e-07,9.151820959162339e-09
8.330678383407766e-08,1.0089446748803895e-08
1.5731993868789996e-07,1.0623614709978496e-08
2.8745494726770486e-07,1.0612912720128414e-08
3.353191904442735e-07,1.0140978801239902e-08
2.0127276867426884e-07,9.411094963972267e-09
-9.252286896660349e-08,8.64085309957793e-09
-4.174051776094038e-07,7.989343901767551e-09
-6.216677367139224e-07,7.52800876280441e-09
-6.481971078002588e-07,7.248870574390924e-09
-5.696632849279213e-07,7.094545163786002e-09
-4.812328314574428e-07,6.993173426590567e-09
-4.070496788203193e-07,6.885700430866076e-09
-3.3554734913519686e-07,6.739647856579351e-09
-2.816382010319896e-07,6.549761388301278e-09
-2.8597279417048193e-07,6.329929557410791e-09
-3.7549851463914375e-07,6.102042098651059e-09
-5.212716537755801e-07,5.886337306758214e-09
-6.541147630233292e-07,5.695566712371189e-09
-7.283641523841113e-07,5.5334264355954595e-09
-7.317150655943716e-07,5.396508892055739e-09
-6.715462244402067e-07,5.277958314648168e-09
-5.876495913590244e-07,5.170752377855631e-09
-5.21615703833904e-07,5.094905808648835e-09
-4.791343827445817e-07,4.854595656206157e-09
-4.5106594440779457e-07,3.576136094613548e-09
-4.265396372854267e-07,7.160527529776778e-10
-3.9683928439742923e-07,-1.9709999649956487e-09
-3.788433279828326e-07,-1.5694301039417837e-09
-3.97713748758848e-07,2.566376569333879e-09
-4.5539612221071615e-07,8.23939372902147e-09
-5.300024876333956e-07,1.2677966861320686e-08
-5.612519861129148e-07,1.4293699553557398e-08
-4.7429363315427275e-07,1.3021470742116307e-08
-2.767983893983311e-07,9.869592190099638e-09
-8.345029256539973e-08,5.3578761423701e-09
-1.922427292235837e-08,-2.2620344785398215e-09
-1.1455068222835949e-07,-1.4675828356123372e-08
-2.624584803071144e-07,-2.8810344836279836e-08
-2.9616118650236506e-07,-3.722108090709862e-08
-1.5675815718389556e-07,-3.277906815350358e-08
5.083210030889158e-08,-1.4590324856998718e-08
1.822652915760882e-07,7.952898733670293e-09
1.9224337793849702e-07,2.1418949584452024e-08
1.3577976589299813e-07,2.030408143741576e-08
6.083722657262289e-08,9.466088794222218e-09
-3.9051119213413834e-08,-2.631369193767605e-09
-1.6495788582841135e-07,-9.758502547807388e-09
-2.8712146005151617e-07,-9.77863696214536e-09
-3.8260774289894323e-07,-4.025142830485563e-09
-4.359255406039048e-07,4.395196167183641e-09
-4.342881374576799e-07,1.231049872675646e-08
-4.022999249172984e-07,1.7605407175987207e-08
-3.9222039684498795e-07,1.959385900604507e-08
-4.2659886816314844e-07,1.8786142845658315e-08
-4.83390296287408e-07,1.634057569431018e-08
-5.272384443627067e-07,1.3500219629437382e-08
-5.396221981409825e-07,1.1201876148134437e-08
-5.20639846231787e-07,9.901844148372159e-09
